"TIME","GEO","AGE","SEX","INDIC_IL","UNIT","Value","Flag and Footnotes"
"2016","Germany (until 1990 former territory of the FRG)","Total","Total","Median equivalised net income","Euro","21,275",""
"2016","Germany (until 1990 former territory of the FRG)","Total","Males","Median equivalised net income","Euro","21,750",""
"2016","Germany (until 1990 former territory of the FRG)","Total","Females","Median equivalised net income","Euro","20,744",""
"2016","Germany (until 1990 former territory of the FRG)","Less than 18 years","Total","Median equivalised net income","Euro","20,284",""
"2016","Germany (until 1990 former territory of the FRG)","Less than 18 years","Males","Median equivalised net income","Euro","20,485",""
"2016","Germany (until 1990 former territory of the FRG)","Less than 18 years","Females","Median equivalised net income","Euro","19,970",""
"2016","Germany (until 1990 former territory of the FRG)","From 18 to 24 years","Total","Median equivalised net income","Euro","19,907",""
"2016","Germany (until 1990 former territory of the FRG)","From 18 to 24 years","Males","Median equivalised net income","Euro","20,581",""
"2016","Germany (until 1990 former territory of the FRG)","From 18 to 24 years","Females","Median equivalised net income","Euro","19,229",""
"2016","Germany (until 1990 former territory of the FRG)","From 25 to 49 years","Total","Median equivalised net income","Euro","22,804",""
"2016","Germany (until 1990 former territory of the FRG)","From 25 to 49 years","Males","Median equivalised net income","Euro","23,364",""
"2016","Germany (until 1990 former territory of the FRG)","From 25 to 49 years","Females","Median equivalised net income","Euro","22,394",""
"2016","Germany (until 1990 former territory of the FRG)","From 50 to 64 years","Total","Median equivalised net income","Euro","23,260",""
"2016","Germany (until 1990 former territory of the FRG)","From 50 to 64 years","Males","Median equivalised net income","Euro","24,291",""
"2016","Germany (until 1990 former territory of the FRG)","From 50 to 64 years","Females","Median equivalised net income","Euro","22,303",""
"2016","Germany (until 1990 former territory of the FRG)","65 years or over","Total","Median equivalised net income","Euro","18,669",""
"2016","Germany (until 1990 former territory of the FRG)","65 years or over","Males","Median equivalised net income","Euro","19,359",""
"2016","Germany (until 1990 former territory of the FRG)","65 years or over","Females","Median equivalised net income","Euro","18,094",""
"2016","Estonia","Total","Total","Median equivalised net income","Euro","8,645",""
"2016","Estonia","Total","Males","Median equivalised net income","Euro","9,056",""
"2016","Estonia","Total","Females","Median equivalised net income","Euro","8,321",""
"2016","Estonia","Less than 18 years","Total","Median equivalised net income","Euro","9,092",""
"2016","Estonia","Less than 18 years","Males","Median equivalised net income","Euro","9,010",""
"2016","Estonia","Less than 18 years","Females","Median equivalised net income","Euro","9,119",""
"2016","Estonia","From 18 to 24 years","Total","Median equivalised net income","Euro","8,600",""
"2016","Estonia","From 18 to 24 years","Males","Median equivalised net income","Euro","8,500",""
"2016","Estonia","From 18 to 24 years","Females","Median equivalised net income","Euro","8,720",""
"2016","Estonia","From 25 to 49 years","Total","Median equivalised net income","Euro","10,126",""
"2016","Estonia","From 25 to 49 years","Males","Median equivalised net income","Euro","10,185",""
"2016","Estonia","From 25 to 49 years","Females","Median equivalised net income","Euro","10,065",""
"2016","Estonia","From 50 to 64 years","Total","Median equivalised net income","Euro","9,402",""
"2016","Estonia","From 50 to 64 years","Males","Median equivalised net income","Euro","9,599",""
"2016","Estonia","From 50 to 64 years","Females","Median equivalised net income","Euro","9,285",""
"2016","Estonia","65 years or over","Total","Median equivalised net income","Euro","5,765",""
"2016","Estonia","65 years or over","Males","Median equivalised net income","Euro","6,220",""
"2016","Estonia","65 years or over","Females","Median equivalised net income","Euro","5,343",""
"2016","Ireland","Total","Total","Median equivalised net income","Euro","22,544",""
"2016","Ireland","Total","Males","Median equivalised net income","Euro","22,957",""
"2016","Ireland","Total","Females","Median equivalised net income","Euro","21,990",""
"2016","Ireland","Less than 18 years","Total","Median equivalised net income","Euro","20,932",""
"2016","Ireland","Less than 18 years","Males","Median equivalised net income","Euro","20,907",""
"2016","Ireland","Less than 18 years","Females","Median equivalised net income","Euro","20,932",""
"2016","Ireland","From 18 to 24 years","Total","Median equivalised net income","Euro","20,551",""
"2016","Ireland","From 18 to 24 years","Males","Median equivalised net income","Euro","20,824",""
"2016","Ireland","From 18 to 24 years","Females","Median equivalised net income","Euro","20,461",""
"2016","Ireland","From 25 to 49 years","Total","Median equivalised net income","Euro","24,633",""
"2016","Ireland","From 25 to 49 years","Males","Median equivalised net income","Euro","25,238",""
"2016","Ireland","From 25 to 49 years","Females","Median equivalised net income","Euro","24,025",""
"2016","Ireland","From 50 to 64 years","Total","Median equivalised net income","Euro","23,537",""
"2016","Ireland","From 50 to 64 years","Males","Median equivalised net income","Euro","23,527",""
"2016","Ireland","From 50 to 64 years","Females","Median equivalised net income","Euro","23,559",""
"2016","Ireland","65 years or over","Total","Median equivalised net income","Euro","19,470",""
"2016","Ireland","65 years or over","Males","Median equivalised net income","Euro","20,795",""
"2016","Ireland","65 years or over","Females","Median equivalised net income","Euro","18,359",""
"2016","Greece","Total","Total","Median equivalised net income","Euro","7,500",""
"2016","Greece","Total","Males","Median equivalised net income","Euro","7,564",""
"2016","Greece","Total","Females","Median equivalised net income","Euro","7,422",""
"2016","Greece","Less than 18 years","Total","Median equivalised net income","Euro","6,608",""
"2016","Greece","Less than 18 years","Males","Median equivalised net income","Euro","6,556",""
"2016","Greece","Less than 18 years","Females","Median equivalised net income","Euro","6,624",""
"2016","Greece","From 18 to 24 years","Total","Median equivalised net income","Euro","6,540",""
"2016","Greece","From 18 to 24 years","Males","Median equivalised net income","Euro","6,500",""
"2016","Greece","From 18 to 24 years","Females","Median equivalised net income","Euro","6,570",""
"2016","Greece","From 25 to 49 years","Total","Median equivalised net income","Euro","7,529",""
"2016","Greece","From 25 to 49 years","Males","Median equivalised net income","Euro","7,639",""
"2016","Greece","From 25 to 49 years","Females","Median equivalised net income","Euro","7,400",""
"2016","Greece","From 50 to 64 years","Total","Median equivalised net income","Euro","8,077",""
"2016","Greece","From 50 to 64 years","Males","Median equivalised net income","Euro","7,961",""
"2016","Greece","From 50 to 64 years","Females","Median equivalised net income","Euro","8,184",""
"2016","Greece","65 years or over","Total","Median equivalised net income","Euro","7,816",""
"2016","Greece","65 years or over","Males","Median equivalised net income","Euro","8,087",""
"2016","Greece","65 years or over","Females","Median equivalised net income","Euro","7,573",""
"2016","Spain","Total","Total","Median equivalised net income","Euro","13,681",""
"2016","Spain","Total","Males","Median equivalised net income","Euro","13,873",""
"2016","Spain","Total","Females","Median equivalised net income","Euro","13,490",""
"2016","Spain","Less than 18 years","Total","Median equivalised net income","Euro","12,459",""
"2016","Spain","Less than 18 years","Males","Median equivalised net income","Euro","12,502",""
"2016","Spain","Less than 18 years","Females","Median equivalised net income","Euro","12,352",""
"2016","Spain","From 18 to 24 years","Total","Median equivalised net income","Euro","11,628",""
"2016","Spain","From 18 to 24 years","Males","Median equivalised net income","Euro","11,691",""
"2016","Spain","From 18 to 24 years","Females","Median equivalised net income","Euro","11,501",""
"2016","Spain","From 25 to 49 years","Total","Median equivalised net income","Euro","14,101",""
"2016","Spain","From 25 to 49 years","Males","Median equivalised net income","Euro","14,243",""
"2016","Spain","From 25 to 49 years","Females","Median equivalised net income","Euro","13,888",""
"2016","Spain","From 50 to 64 years","Total","Median equivalised net income","Euro","14,688",""
"2016","Spain","From 50 to 64 years","Males","Median equivalised net income","Euro","14,469",""
"2016","Spain","From 50 to 64 years","Females","Median equivalised net income","Euro","14,825",""
"2016","Spain","65 years or over","Total","Median equivalised net income","Euro","13,832",""
"2016","Spain","65 years or over","Males","Median equivalised net income","Euro","14,406",""
"2016","Spain","65 years or over","Females","Median equivalised net income","Euro","13,262",""
"2016","France","Total","Total","Median equivalised net income","Euro","21,713",""
"2016","France","Total","Males","Median equivalised net income","Euro","21,964",""
"2016","France","Total","Females","Median equivalised net income","Euro","21,416",""
"2016","France","Less than 18 years","Total","Median equivalised net income","Euro","20,021",""
"2016","France","Less than 18 years","Males","Median equivalised net income","Euro","20,107",""
"2016","France","Less than 18 years","Females","Median equivalised net income","Euro","19,995",""
"2016","France","From 18 to 24 years","Total","Median equivalised net income","Euro","19,844",""
"2016","France","From 18 to 24 years","Males","Median equivalised net income","Euro","19,844",""
"2016","France","From 18 to 24 years","Females","Median equivalised net income","Euro","19,850",""
"2016","France","From 25 to 49 years","Total","Median equivalised net income","Euro","22,162",""
"2016","France","From 25 to 49 years","Males","Median equivalised net income","Euro","22,436",""
"2016","France","From 25 to 49 years","Females","Median equivalised net income","Euro","21,671",""
"2016","France","From 50 to 64 years","Total","Median equivalised net income","Euro","23,391",""
"2016","France","From 50 to 64 years","Males","Median equivalised net income","Euro","23,349",""
"2016","France","From 50 to 64 years","Females","Median equivalised net income","Euro","23,435",""
"2016","France","65 years or over","Total","Median equivalised net income","Euro","22,067",""
"2016","France","65 years or over","Males","Median equivalised net income","Euro","22,943",""
"2016","France","65 years or over","Females","Median equivalised net income","Euro","21,441",""
"2016","Croatia","Total","Total","Median equivalised net income","Euro","5,726",""
"2016","Croatia","Total","Males","Median equivalised net income","Euro","5,860",""
"2016","Croatia","Total","Females","Median equivalised net income","Euro","5,569",""
"2016","Croatia","Less than 18 years","Total","Median equivalised net income","Euro","5,430",""
"2016","Croatia","Less than 18 years","Males","Median equivalised net income","Euro","5,504",""
"2016","Croatia","Less than 18 years","Females","Median equivalised net income","Euro","5,211",""
"2016","Croatia","From 18 to 24 years","Total","Median equivalised net income","Euro","5,585",""
"2016","Croatia","From 18 to 24 years","Males","Median equivalised net income","Euro","5,921",""
"2016","Croatia","From 18 to 24 years","Females","Median equivalised net income","Euro","5,391",""
"2016","Croatia","From 25 to 49 years","Total","Median equivalised net income","Euro","6,271",""
"2016","Croatia","From 25 to 49 years","Males","Median equivalised net income","Euro","6,235",""
"2016","Croatia","From 25 to 49 years","Females","Median equivalised net income","Euro","6,298",""
"2016","Croatia","From 50 to 64 years","Total","Median equivalised net income","Euro","6,044",""
"2016","Croatia","From 50 to 64 years","Males","Median equivalised net income","Euro","6,135",""
"2016","Croatia","From 50 to 64 years","Females","Median equivalised net income","Euro","5,926",""
"2016","Croatia","65 years or over","Total","Median equivalised net income","Euro","4,963",""
"2016","Croatia","65 years or over","Males","Median equivalised net income","Euro","5,262",""
"2016","Croatia","65 years or over","Females","Median equivalised net income","Euro","4,728",""
"2016","Italy","Total","Total","Median equivalised net income","Euro","16,247",""
"2016","Italy","Total","Males","Median equivalised net income","Euro","16,739",""
"2016","Italy","Total","Females","Median equivalised net income","Euro","15,885",""
"2016","Italy","Less than 18 years","Total","Median equivalised net income","Euro","14,259",""
"2016","Italy","Less than 18 years","Males","Median equivalised net income","Euro","14,259",""
"2016","Italy","Less than 18 years","Females","Median equivalised net income","Euro","14,221",""
"2016","Italy","From 18 to 24 years","Total","Median equivalised net income","Euro","15,183",""
"2016","Italy","From 18 to 24 years","Males","Median equivalised net income","Euro","15,183",""
"2016","Italy","From 18 to 24 years","Females","Median equivalised net income","Euro","15,156",""
"2016","Italy","From 25 to 49 years","Total","Median equivalised net income","Euro","16,378",""
"2016","Italy","From 25 to 49 years","Males","Median equivalised net income","Euro","17,204",""
"2016","Italy","From 25 to 49 years","Females","Median equivalised net income","Euro","15,584",""
"2016","Italy","From 50 to 64 years","Total","Median equivalised net income","Euro","18,157",""
"2016","Italy","From 50 to 64 years","Males","Median equivalised net income","Euro","18,195",""
"2016","Italy","From 50 to 64 years","Females","Median equivalised net income","Euro","18,100",""
"2016","Italy","65 years or over","Total","Median equivalised net income","Euro","16,403",""
"2016","Italy","65 years or over","Males","Median equivalised net income","Euro","17,295",""
"2016","Italy","65 years or over","Females","Median equivalised net income","Euro","15,850",""
"2016","Cyprus","Total","Total","Median equivalised net income","Euro","14,020",""
"2016","Cyprus","Total","Males","Median equivalised net income","Euro","14,340",""
"2016","Cyprus","Total","Females","Median equivalised net income","Euro","13,854",""
"2016","Cyprus","Less than 18 years","Total","Median equivalised net income","Euro","13,820",""
"2016","Cyprus","Less than 18 years","Males","Median equivalised net income","Euro","13,631",""
"2016","Cyprus","Less than 18 years","Females","Median equivalised net income","Euro","13,901",""
"2016","Cyprus","From 18 to 24 years","Total","Median equivalised net income","Euro","13,334",""
"2016","Cyprus","From 18 to 24 years","Males","Median equivalised net income","Euro","13,418",""
"2016","Cyprus","From 18 to 24 years","Females","Median equivalised net income","Euro","13,058",""
"2016","Cyprus","From 25 to 49 years","Total","Median equivalised net income","Euro","14,794",""
"2016","Cyprus","From 25 to 49 years","Males","Median equivalised net income","Euro","14,867",""
"2016","Cyprus","From 25 to 49 years","Females","Median equivalised net income","Euro","14,681",""
"2016","Cyprus","From 50 to 64 years","Total","Median equivalised net income","Euro","15,428",""
"2016","Cyprus","From 50 to 64 years","Males","Median equivalised net income","Euro","15,674",""
"2016","Cyprus","From 50 to 64 years","Females","Median equivalised net income","Euro","15,303",""
"2016","Cyprus","65 years or over","Total","Median equivalised net income","Euro","11,573",""
"2016","Cyprus","65 years or over","Males","Median equivalised net income","Euro","12,541",""
"2016","Cyprus","65 years or over","Females","Median equivalised net income","Euro","11,097",""
"2016","Latvia","Total","Total","Median equivalised net income","Euro","6,365",""
"2016","Latvia","Total","Males","Median equivalised net income","Euro","6,578",""
"2016","Latvia","Total","Females","Median equivalised net income","Euro","6,159",""
"2016","Latvia","Less than 18 years","Total","Median equivalised net income","Euro","6,515",""
"2016","Latvia","Less than 18 years","Males","Median equivalised net income","Euro","6,466",""
"2016","Latvia","Less than 18 years","Females","Median equivalised net income","Euro","6,610",""
"2016","Latvia","From 18 to 24 years","Total","Median equivalised net income","Euro","6,563",""
"2016","Latvia","From 18 to 24 years","Males","Median equivalised net income","Euro","6,672",""
"2016","Latvia","From 18 to 24 years","Females","Median equivalised net income","Euro","6,409",""
"2016","Latvia","From 25 to 49 years","Total","Median equivalised net income","Euro","7,413",""
"2016","Latvia","From 25 to 49 years","Males","Median equivalised net income","Euro","7,472",""
"2016","Latvia","From 25 to 49 years","Females","Median equivalised net income","Euro","7,395",""
"2016","Latvia","From 50 to 64 years","Total","Median equivalised net income","Euro","6,455",""
"2016","Latvia","From 50 to 64 years","Males","Median equivalised net income","Euro","6,515",""
"2016","Latvia","From 50 to 64 years","Females","Median equivalised net income","Euro","6,412",""
"2016","Latvia","65 years or over","Total","Median equivalised net income","Euro","4,385",""
"2016","Latvia","65 years or over","Males","Median equivalised net income","Euro","4,674",""
"2016","Latvia","65 years or over","Females","Median equivalised net income","Euro","4,202",""
"2016","Lithuania","Total","Total","Median equivalised net income","Euro","5,645",""
"2016","Lithuania","Total","Males","Median equivalised net income","Euro","5,886",""
"2016","Lithuania","Total","Females","Median equivalised net income","Euro","5,497",""
"2016","Lithuania","Less than 18 years","Total","Median equivalised net income","Euro","5,482",""
"2016","Lithuania","Less than 18 years","Males","Median equivalised net income","Euro","5,354",""
"2016","Lithuania","Less than 18 years","Females","Median equivalised net income","Euro","5,550",""
"2016","Lithuania","From 18 to 24 years","Total","Median equivalised net income","Euro","5,661",""
"2016","Lithuania","From 18 to 24 years","Males","Median equivalised net income","Euro","5,970",""
"2016","Lithuania","From 18 to 24 years","Females","Median equivalised net income","Euro","5,491",""
"2016","Lithuania","From 25 to 49 years","Total","Median equivalised net income","Euro","6,661",""
"2016","Lithuania","From 25 to 49 years","Males","Median equivalised net income","Euro","6,850",""
"2016","Lithuania","From 25 to 49 years","Females","Median equivalised net income","Euro","6,552",""
"2016","Lithuania","From 50 to 64 years","Total","Median equivalised net income","Euro","6,259",""
"2016","Lithuania","From 50 to 64 years","Males","Median equivalised net income","Euro","6,266",""
"2016","Lithuania","From 50 to 64 years","Females","Median equivalised net income","Euro","6,241",""
"2016","Lithuania","65 years or over","Total","Median equivalised net income","Euro","4,323",""
"2016","Lithuania","65 years or over","Males","Median equivalised net income","Euro","4,829",""
"2016","Lithuania","65 years or over","Females","Median equivalised net income","Euro","4,057",""
"2016","Luxembourg","Total","Total","Median equivalised net income","Euro","33,818","b"
"2016","Luxembourg","Total","Males","Median equivalised net income","Euro","34,353","b"
"2016","Luxembourg","Total","Females","Median equivalised net income","Euro","33,246","b"
"2016","Luxembourg","Less than 18 years","Total","Median equivalised net income","Euro","29,190","b"
"2016","Luxembourg","Less than 18 years","Males","Median equivalised net income","Euro","29,275","b"
"2016","Luxembourg","Less than 18 years","Females","Median equivalised net income","Euro","29,123","b"
"2016","Luxembourg","From 18 to 24 years","Total","Median equivalised net income","Euro","29,578","b"
"2016","Luxembourg","From 18 to 24 years","Males","Median equivalised net income","Euro","30,408","b"
"2016","Luxembourg","From 18 to 24 years","Females","Median equivalised net income","Euro","27,650","b"
"2016","Luxembourg","From 25 to 49 years","Total","Median equivalised net income","Euro","33,900","b"
"2016","Luxembourg","From 25 to 49 years","Males","Median equivalised net income","Euro","35,138","b"
"2016","Luxembourg","From 25 to 49 years","Females","Median equivalised net income","Euro","32,446","b"
"2016","Luxembourg","From 50 to 64 years","Total","Median equivalised net income","Euro","37,837","b"
"2016","Luxembourg","From 50 to 64 years","Males","Median equivalised net income","Euro","37,671","b"
"2016","Luxembourg","From 50 to 64 years","Females","Median equivalised net income","Euro","37,865","b"
"2016","Luxembourg","65 years or over","Total","Median equivalised net income","Euro","39,691","b"
"2016","Luxembourg","65 years or over","Males","Median equivalised net income","Euro","41,748","b"
"2016","Luxembourg","65 years or over","Females","Median equivalised net income","Euro","38,548","b"
"2016","Hungary","Total","Total","Median equivalised net income","Euro","4,768",""
"2016","Hungary","Total","Males","Median equivalised net income","Euro","4,868",""
"2016","Hungary","Total","Females","Median equivalised net income","Euro","4,722",""
"2016","Hungary","Less than 18 years","Total","Median equivalised net income","Euro","4,270",""
"2016","Hungary","Less than 18 years","Males","Median equivalised net income","Euro","4,261",""
"2016","Hungary","Less than 18 years","Females","Median equivalised net income","Euro","4,283",""
"2016","Hungary","From 18 to 24 years","Total","Median equivalised net income","Euro","4,286",""
"2016","Hungary","From 18 to 24 years","Males","Median equivalised net income","Euro","4,304",""
"2016","Hungary","From 18 to 24 years","Females","Median equivalised net income","Euro","4,210",""
"2016","Hungary","From 25 to 49 years","Total","Median equivalised net income","Euro","5,121",""
"2016","Hungary","From 25 to 49 years","Males","Median equivalised net income","Euro","5,242",""
"2016","Hungary","From 25 to 49 years","Females","Median equivalised net income","Euro","4,999",""
"2016","Hungary","From 50 to 64 years","Total","Median equivalised net income","Euro","4,930",""
"2016","Hungary","From 50 to 64 years","Males","Median equivalised net income","Euro","4,872",""
"2016","Hungary","From 50 to 64 years","Females","Median equivalised net income","Euro","4,945",""
"2016","Hungary","65 years or over","Total","Median equivalised net income","Euro","4,800",""
"2016","Hungary","65 years or over","Males","Median equivalised net income","Euro","5,031",""
"2016","Hungary","65 years or over","Females","Median equivalised net income","Euro","4,649",""
"2016","Malta","Total","Total","Median equivalised net income","Euro","13,617",""
"2016","Malta","Total","Males","Median equivalised net income","Euro","13,748",""
"2016","Malta","Total","Females","Median equivalised net income","Euro","13,543",""
"2016","Malta","Less than 18 years","Total","Median equivalised net income","Euro","12,682",""
"2016","Malta","Less than 18 years","Males","Median equivalised net income","Euro","12,311",""
"2016","Malta","Less than 18 years","Females","Median equivalised net income","Euro","13,006",""
"2016","Malta","From 18 to 24 years","Total","Median equivalised net income","Euro","14,361",""
"2016","Malta","From 18 to 24 years","Males","Median equivalised net income","Euro","13,966",""
"2016","Malta","From 18 to 24 years","Females","Median equivalised net income","Euro","14,694",""
"2016","Malta","From 25 to 49 years","Total","Median equivalised net income","Euro","15,288",""
"2016","Malta","From 25 to 49 years","Males","Median equivalised net income","Euro","15,397",""
"2016","Malta","From 25 to 49 years","Females","Median equivalised net income","Euro","15,161",""
"2016","Malta","From 50 to 64 years","Total","Median equivalised net income","Euro","14,531",""
"2016","Malta","From 50 to 64 years","Males","Median equivalised net income","Euro","14,541",""
"2016","Malta","From 50 to 64 years","Females","Median equivalised net income","Euro","14,494",""
"2016","Malta","65 years or over","Total","Median equivalised net income","Euro","10,488",""
"2016","Malta","65 years or over","Males","Median equivalised net income","Euro","10,772",""
"2016","Malta","65 years or over","Females","Median equivalised net income","Euro","10,270",""
"2016","Netherlands","Total","Total","Median equivalised net income","Euro","22,733","b"
"2016","Netherlands","Total","Males","Median equivalised net income","Euro","23,128","b"
"2016","Netherlands","Total","Females","Median equivalised net income","Euro","22,271","b"
